Date,Year,Month,Week,Region,Temperature_C,Rainfall_mm,Humidity_Percent
2023-03-06,2023,3,10,Dhaka,27.5,38,78
2023-03-13,2023,3,11,Dhaka,29.2,45,80
2023-03-20,2023,3,12,Dhaka,30.5,52,81
2023-03-27,2023,3,13,Dhaka,31.5,60,82
2023-04-03,2023,4,14,Dhaka,32.5,70,83
2023-04-10,2023,4,15,Dhaka,33.2,78,84
2023-04-17,2023,4,16,Dhaka,33.8,85,85
2023-04-24,2023,4,17,Dhaka,34.5,92,85
2023-05-01,2023,5,18,Dhaka,35.2,102,86
2023-05-08,2023,5,19,Dhaka,35.8,112,86
2023-05-15,2023,5,20,Dhaka,36.2,120,87
2023-05-22,2023,5,21,Dhaka,36.8,128,87
2023-05-29,2023,5,22,Dhaka,37.1,135,88
2023-06-05,2023,6,23,Dhaka,36.5,148,88
2023-06-12,2023,6,24,Dhaka,35.8,162,89
2023-06-19,2023,6,25,Dhaka,35.5,175,89
2023-06-26,2023,6,26,Dhaka,35.2,188,90
2023-07-03,2023,7,27,Dhaka,34.8,202,90
2023-07-10,2023,7,28,Dhaka,34.5,215,90
2023-07-17,2023,7,29,Dhaka,34.2,228,91
2023-07-24,2023,7,30,Dhaka,33.8,242,91
2023-07-31,2023,7,31,Dhaka,33.5,255,91
2023-08-07,2023,8,32,Dhaka,33.8,268,91
2023-08-14,2023,8,33,Dhaka,34.2,282,91
2023-08-21,2023,8,34,Dhaka,34.5,295,91
2023-08-28,2023,8,35,Dhaka,34.8,305,91
2023-09-04,2023,9,36,Dhaka,34.2,288,90
2023-09-11,2023,9,37,Dhaka,33.5,268,89
2023-09-18,2023,9,38,Dhaka,32.8,248,88
2023-09-25,2023,9,39,Dhaka,32.2,228,87
2023-10-02,2023,10,40,Dhaka,31.5,208,85
2023-10-09,2023,10,41,Dhaka,30.8,188,83
2023-10-16,2023,10,42,Dhaka,29.8,168,81
2023-10-23,2023,10,43,Dhaka,28.5,148,79
2023-10-30,2023,10,44,Dhaka,27.2,128,77
2023-11-06,2023,11,45,Dhaka,25.8,108,75
2023-11-13,2023,11,46,Dhaka,24.2,88,73
2023-11-20,2023,11,47,Dhaka,22.8,68,71
2023-11-27,2023,11,48,Dhaka,21.5,52,69
2023-12-04,2023,12,49,Dhaka,20.2,38,67
2023-12-11,2023,12,50,Dhaka,19.2,28,65
2023-12-18,2023,12,51,Dhaka,18.5,18,64
2023-12-25,2023,12,52,Dhaka,17.8,12,63
2024-01-01,2024,1,1,Dhaka,18.5,10,65
2024-01-08,2024,1,2,Dhaka,19.2,7,66
2024-01-15,2024,1,3,Dhaka,19.8,9,68
2024-01-22,2024,1,4,Dhaka,20.5,11,69
2024-01-29,2024,1,5,Dhaka,21.2,14,70
2024-02-05,2024,2,6,Dhaka,22.5,17,72
2024-02-12,2024,2,7,Dhaka,23.5,20,73
2024-02-19,2024,2,8,Dhaka,24.8,25,75
2024-02-26,2024,2,9,Dhaka,26.2,30,76
2024-03-04,2024,3,10,Dhaka,27.8,38,78
2024-03-11,2024,3,11,Dhaka,29.5,45,79
2024-03-18,2024,3,12,Dhaka,30.8,52,80
2024-03-25,2024,3,13,Dhaka,32.2,60,82
2024-04-01,2024,4,14,Dhaka,33.2,70,83
2024-04-08,2024,4,15,Dhaka,33.8,78,84
2024-04-15,2024,4,16,Dhaka,34.5,85,85
2024-04-22,2024,4,17,Dhaka,35.2,92,85
2024-04-29,2024,4,18,Dhaka,35.8,100,86
2024-05-06,2024,5,19,Dhaka,36.2,110,86
2024-05-13,2024,5,20,Dhaka,36.8,118,87
2024-05-20,2024,5,21,Dhaka,37.2,125,87
2024-05-27,2024,5,22,Dhaka,37.5,132,88
2024-06-03,2024,6,23,Dhaka,36.8,145,88
2024-06-10,2024,6,24,Dhaka,36.2,158,89
2024-06-17,2024,6,25,Dhaka,35.8,172,89
2024-06-24,2024,6,26,Dhaka,35.5,185,90
2024-07-01,2024,7,27,Dhaka,35.2,198,90
2024-07-08,2024,7,28,Dhaka,34.8,212,90
2024-07-15,2024,7,29,Dhaka,34.5,225,91
2024-07-22,2024,7,30,Dhaka,34.2,238,91
2024-07-29,2024,7,31,Dhaka,33.8,252,91
2024-08-05,2024,8,32,Dhaka,34.2,265,91
2024-08-12,2024,8,33,Dhaka,34.5,278,91
2024-08-19,2024,8,34,Dhaka,34.8,292,91
2024-08-26,2024,8,35,Dhaka,35.2,305,91
2024-09-02,2024,9,36,Dhaka,34.5,288,90
2024-09-09,2024,9,37,Dhaka,33.8,268,89
2024-09-16,2024,9,38,Dhaka,33.2,248,88
2024-09-23,2024,9,39,Dhaka,32.5,228,87
2024-09-30,2024,9,40,Dhaka,31.8,208,86
2024-10-07,2024,10,41,Dhaka,31.2,188,84
2024-10-14,2024,10,42,Dhaka,30.2,168,82
2024-10-21,2024,10,43,Dhaka,28.8,148,80
2024-10-28,2024,10,44,Dhaka,27.5,128,78
2024-11-04,2024,11,45,Dhaka,26.2,108,76
2024-11-11,2024,11,46,Dhaka,24.8,88,74
2024-11-18,2024,11,47,Dhaka,23.5,68,72
2024-11-25,2024,11,48,Dhaka,22.2,52,70
2024-12-02,2024,12,49,Dhaka,20.8,38,68
2024-12-09,2024,12,50,Dhaka,19.8,28,66
2024-12-16,2024,12,51,Dhaka,18.8,18,65
2024-12-23,2024,12,52,Dhaka,18.2,12,64
2024-12-30,2024,12,53,Dhaka,17.5,8,63
